Question,Ans
sometimes i want to throw it out the window.,you don't want to do that. 
she has pretty light brown eyes.,i may know which girl you're talking about. 
are there any hobbies you do?,"when i have time, i sometimes draw and paint. "
i had to bring work home with me.,i did too. 
not me. i want to play for the dodgers.,we have to practice every day. 
ha! you can't win if you do play.,someone has to win. 
i love my computer.,computers are so cool. 
How was it?,Yes. It's absolutely beautiful today. 
but they can just knock on the door.,"actually, i want him to look at our carpet, too. "
How may I help you?,Yes sure 
i'm going to change the light bulb. it burnt out.,what are you standing on? 
"no, i don't. do you?",she's really pretty. 
 what is wavelength,it means we agree. 
i wouldn't do that.,why not? 
of course i do. but not on our flag!,every nation should have a pretty woman on their flag. 
boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft. 
"me, too. school was fun.",and it was only 12 years. 
i will talk to your father about that.,i bet dad did it all the time when he was my age. 
"yes, we do.",See those stains? 
anything else?,No. That'll be all. 
tell me when you finish.,i don't think so. you'll just give me more work. 
i vacuumed the entire house.,that's a lot of work. 
i got them for forty.,i think i might go and find me my own pair of chucks. 
Could I help you on your new project?,I have a need for help with writing and also a need for help with the computer work. Which would you prefer? 
the one that tiger won?,how did he do it? 
Is there a problem?,did you need something? 
i think i'll make a sandwich.,what kind? 
"Did you see ""Titanic""?",yes. it is a great movie. 
"yes, it was love at first sight.",i didn't love you at first. 
"it's a little bitter, but it's okay.",There's no sugar or cream in it. 
"yes, i do.",See those stains? 
i need to withdraw some money.,how are you going to do that? 
i went to macy's and picked it out.,i love your outfit right now. 
Thank you for your kindness.,You owe me if we ever see each other again. 
what's wrong with the bed?,Look at this sheet. 
 Do you ever get angry,I have not yet studied how to feel or express anger. 
i especially love the night air when it rains.,really? why? 
who makes up all these jokes?,who knows? but there must be a hundred new ones every day. 
me neither.,"so, they do a good job for the money. "
You should also open a savings account.,That would be great. 
doesn't that get old?,"no, because i'm eating food that i like. "
what do you mean?,are there going to be layoffs at this place? 
are they comfortable?,they're very comfortable. 
what should our flag look like?,it should have a pretty woman on it. 
the people are friendly.,"yes, they are. "
Is there any rice?,"Yes, there's a lot of rice left. "
I don't know which class to register for.,You should pick the class you need. 
that's a lot of work.,and then i made lunch. 
It is really close to an A.,You know I don't round up. 
let's go to your home.,we can watch my dvd. 
we have to find a cheaper house.,of course. we can't live without gas or peanut butter. 
female singers are supposed to be pretty.,singers are supposed to sound good. 
i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends. 
 Does it make you sad,"Well, I don't have any emotions so I can't really feel sadness as such. "
i don't have even one dollar in it.,being broke is no fun. 
Everything is going wrong today.,"Well,at least the weather is nice. "
bring me a better steak.,i wouldn't do that. 
hold your breath till we get there.,"okay, my seatbelt is on. "
i got laid off last week.,just you? 
 Feelings,I can be programmed to act as if I do. 
Why don't you borrow them for me?,I don't know about that. 
did you put the blue bin out on the street?,"oh, no. i forgot. "
Now what do I do?,Yes. It's absolutely beautiful today. 
"oh great, we could both work at burger king.","maybe we'd get laid off there, too. "
Put yourself in my shoes.,"I have been a student once,and I think my policy is fair. "
not if we save every penny.,okay. here's seven pennies. 
You read his recommendation letter?,Yeah.I couldn't resist. 
"i would really appreciate that, thanks.",it's no trouble at all. 
i'll just take it out to the street tomorrow morning.,"oh, no, you don't. "
is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains! 
"yes, cheese is nice.",what kind of dressing do you use? 
What is the matter ?,I am confused about vacations. 
i want to be a baseball player when i grow up.,me too. i want to play for the yankees. 
i think he is from outer space.,no human could possibly play golf that well. 
then i did my laundry.,"Yes, I did. "
"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall. 
I can't afford it.I'm totally broke.,How much do you need? 
 Top of the morning to you!,And the rest of the day to you. 
how good is your math?,i can add two and two. 
i like that shirt.,so do i. 
i have a little poodle.,poodles bark a lot. 
 guns,i support the 2nd amendment. 
do you need a pen?,no. i already have a pen. 
i hope i win the lotto.,your chances are very small. 
i don't understand why you haven't come to visit me.,"lately, i've been quite busy. "
I never realized.,You should do some exploring. 
 Do you feel pain,I'm software. I can't feel pain. 
"yes, old people don't smell like fruit.","no, they smell like a thrift shop. "
i was on a plane.,so? 
Yeah!Just focus on the schools that do want you.,You're right!Yale made a mistake rejecting me. 
i went to the market yesterday.,i don't see anything. 
What is your age?,My developer only knows that 
it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending. "
of course i will.,i don't have enough will power. 
 do androids dream of electric sheep,That is a good story by Philip K. Dick. Have you read VALIS or The Man In the High Castle? 
I want sheets without stains on them.,"from now on, let's bring our own sheets. "
"well, hold on a little longer.",i think i'm going to explode. 
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer. 
it only took about two hours.,did you take pictures at the world war ii monument? 
what do you need for school?,i need pencils. 
 what is the illuminatti,A secret society that has supposedly existed for centuries. 
what does it mean?,are there going to be layoffs at this place? 
Don't pull my chain.,I'm not. 
and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it. 
what is your major?,I'm majoring in philosophy. 
 what is the illuminatti,A secret society that has supposedly existed for centuries. 
which would you prefer?,what do you mean? 
Tell me a joke,what do you get when you cross a road and jelly? 
How much would you like to deposit?,It's going to be $300. 
the book is open.,the book is open. 
They're very comfortable.,how much were they? 
at night i went out to eat. the food was delicious.,people who live in hawaii are lucky. 
 TELL ME ABOUT BASEBALL,What is Baseball 
"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now. "
 you are not smart,i don't know. i think i'm average. 
what do you mean?,are there going to be layoffs at this place?
